"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","10568","A test to get the field color value in Hex format","","Mon Aug 18 10:27:36 GMT 2025","passed","Mon Aug 18 10:27:47 GMT 2025","","Info. Checking the basic functions for the Dictionary","application.Samples.Info.DictionaryOnInfoTest","color"
"","7260","Test to get the name of the downloaded file","","Mon Aug 18 10:30:38 GMT 2025","passed","Mon Aug 18 10:30:45 GMT 2025","","Info. Checking the basic functions for the FileUp","application.Samples.Info.FileUploadOnInfoTest","getFileName"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","5372","A test to get the field color value in Hex format","","Mon Aug 18 10:50:57 GMT 2025","passed","Mon Aug 18 10:51:02 GMT 2025","","List. Checking the basic functions for the DateTime in the widget List","application.Samples.List.DateTimeOnListTest","color"
"The test gets the value from the placeholder attribute and returns it in String format","6119","Test for getting the Placeholder value","","Mon Aug 18 10:38:11 GMT 2025","passed","Mon Aug 18 10:38:17 GMT 2025","","List. Checking the basic functions for the Input in the widget List","application.Samples.List.InputOnListTest","placeholder"
"Filtering is not available for the Form widget","8465","Filtering test","","Mon Aug 18 11:03:30 GMT 2025","passed","Mon Aug 18 11:03:38 GMT 2025","","Form. Checking the basic functions for the Percent in the widget Form","application.Samples.Form.PercentOnFormTest","filtration"
"Filtering is not available for InfoWidget.","6423","Filtering test","","Mon Aug 18 10:29:57 GMT 2025","passed","Mon Aug 18 10:30:03 GMT 2025","","Info. Checking the basic functions for the FileUp","application.Samples.Info.FileUploadOnInfoTest","filtration"
"Checking the url before the transition and after the transition/click on a special element","6283","The DrillDown test","","Mon Aug 18 10:58:20 GMT 2025","passed","Mon Aug 18 10:58:26 GMT 2025","","Form. Checking the basic functions for the NumberDigits in the widget Form","application.Samples.Form.NumberDigitsOnFormTest","drillDown"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated.","20684","Confirmation Popup Validation Test","","Mon Aug 18 10:42:58 GMT 2025","passed","Mon Aug 18 10:43:18 GMT 2025","","List. Checking the basic functions for the Percent in the widget List","application.Samples.List.PercentOnListTest","confirm"
"Sorting is not available for InfoWidget.","5935","Sorting test","","Mon Aug 18 10:28:58 GMT 2025","passed","Mon Aug 18 10:29:04 GMT 2025","","Info. Checking the basic functions for the Date","application.Samples.Info.DateOnInfoTest","sorting"
"The test verifies that after clearing the field, it is empty","7454","The test for deleting a file from a field","","Mon Aug 18 11:01:17 GMT 2025","passed","Mon Aug 18 11:01:25 GMT 2025","","Form. Checking the basic functions for the FileUpload in the widget Form","application.Samples.Form.FileUploadOnFormTest","clear"
"Sorting is not available for InfoWidget.","9528","Sorting test","","Mon Aug 18 10:26:49 GMT 2025","passed","Mon Aug 18 10:26:58 GMT 2025","","Info. Checking the basic functions for the MultiplySelect","application.Samples.Info.MultipleSelectOnInfoTest","sorting"
"Filtering is not available for the Form widget","5460","Filtering test","","Mon Aug 18 10:59:52 GMT 2025","passed","Mon Aug 18 10:59:57 GMT 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","filtration"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered.","13241","Required Message validation test for one field","","Mon Aug 18 10:53:17 GMT 2025","passed","Mon Aug 18 10:53:30 GMT 2025","","List. Checking the basic functions for the Dictionary in the widget List","application.Samples.List.DictionaryOnListTest","fieldLevelValidationAnnotation"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","9013","Confirmation Popup Validation Test","","Mon Aug 18 10:59:46 GMT 2025","passed","Mon Aug 18 10:59:55 GMT 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","confirm"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated.","10489","Business Exception Validation Test","","Mon Aug 18 10:45:19 GMT 2025","passed","Mon Aug 18 10:45:29 GMT 2025","","List. Checking the basic functions for the MultipleSelect in the widget List","application.Samples.List.MultipleSelectOnListTest","businessException"
