"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Samples","0","widget/fields/field/pickTree","19","0","","0"
"0","Samples","0","widget/fields/field/richtext","14","0","","0"
"0","Samples","0","","162","13","","0"
"0","Samples","2","widget/type/tree","20","0","","0"
"0","Samples","0","widget/type/cardlist","13","0","","0"
"0","Samples","0","widget/fields/field/multivalueTree","13","1","","0"
"0","","0","","29","3","","0"
"0","Samples","0","widget/type/assoctreepopup","13","0","","0"
"0","Samples","0","widget/type/picktreepopup","10","0","","0"
"0","application/Samples","0","","2","0","","0"
"0","Samples","0","widget/type/list","2","0","","0"
"0","Samples","0","","15","1","List","0"
"0","Samples","0","widget/type/statblocks","1","0","","0"
"0","Samples","0","widget/type/property/defaultlimitpage","1","0","","0"
