"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Samples","2","","228","33","","0"
"0","application/Samples","0","","127","53","","0"
"0","","0","","43","13","","0"
"0","application/Samples","0","widget/fields/field/pickTree","13","4","","0"
"0","application/Samples","0","","6","0","Info","0"
"0","Samples","0","","15","1","List","0"
"0","Samples","0","widget/fields/field/multivalueTree","17","5","","0"
"0","application/Samples","0","","25","0","Form","0"
"0","Samples","0","widget/fields/field/pickTree","19","0","","0"
"0","application/Samples","0","widget/type/picktreepopup","1","0","","0"
"0","Samples","0","widget/type/property/filtration","4","0","","0"
