"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","application/Samples","0","","224","70","","0"
"0","application/Samples","0","widget/fields/field/pickTree","15","4","","0"
"0","application/Samples","0","","25","0","Form","0"
"0","Samples","0","widget/fields/field/multivalueTree","32","9","","0"
"0","Samples","0","","236","38","","0"
"0","Samples","0","widget/type/tree","22","0","","0"
"0","Samples","0","widget/type/property/defaultlimitpage","1","0","","0"
"0","Samples","0","widget/type/picktreepopup","10","0","","0"
"0","","0","","73","21","","0"
"0","Samples","0","","15","1","List","0"
"0","Samples","0","widget/fields/field/pickTree","19","0","","0"
"0","Samples","0","widget/type/picklistpopup","10","0","","0"
"0","Samples","0","widget/type/assoctreepopup","13","0","","0"
"0","application/Samples","0","","6","0","Info","0"
"0","Samples","0","widget/type/property/multiupload","5","0","","0"
"0","application/Samples","0","widget/type/picktreepopup","1","0","","0"
