"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","application/Samples","1","","223","70","","0"
"0","","0","","73","21","","0"
"0","Samples","2","","231","37","","0"
"0","Samples","0","widget/fields/field/multivalueTree","32","9","","0"
"0","application/Samples","0","widget/fields/field/pickTree","15","4","","0"
"0","Samples","1","widget/type/calendarlist","11","0","","0"
"0","application/Samples","0","widget/type/picktreepopup","1","0","","0"
"0","application/Samples","0","","25","0","Form","0"
"0","Samples","0","widget/fields/field/pickTree","19","0","","0"
"0","Samples","0","","15","1","List","0"
"0","Samples","0","widget/type/assoctreepopup","6","0","","0"
"0","Samples","0","widget/type/picktreepopup","9","0","","0"
"0","application/Samples","0","","6","0","Info","0"
"0","Samples","0","widget/type/tree","1","0","","0"
