"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","application/Samples","0","widget/fields/field/suggestionpicklist","10","3","","0"
"0","application/Samples","0","widget/fields/field/fileUpload","15","2","","0"
"0","Samples","0","widget/fields/field/multivalue","30","5","","0"
"0","application/Samples","0","widget/fields/field/text","13","3","","0"
"0","Samples","0","widget/fields/field/date","15","0","","0"
"0","Samples","0","","39","24","","0"
"0","Samples","0","widget/fields/field/multipleSelect","16","2","","0"
"0","application/Samples","0","widget/fields/field/pickTree","16","4","","0"
"0","Samples","0","widget/fields/field/inlinePickList","16","1","","0"
"0","application/Samples","0","widget/fields/field/money","14","3","","0"
"0","Samples","0","widget/fields/field/money","16","2","","0"
"0","application/Samples","0","widget/fields/field/multipleSelect","16","3","","0"
"0","Samples","0","widget/fields/field/dateTimeWithSeconds","14","0","","0"
"0","application/Samples","0","widget/fields/field/dictionary","14","0","","0"
"0","application/Samples","0","","62","47","","0"
"0","Samples","0","widget/fields/field/number","17","1","","0"
"0","","0","widget/fields/field/suggestionpicklist","9","1","","0"
"0","Samples","0","","15","1","List","0"
"0","Samples","0","widget/fields/field/pickList","20","0","","0"
"0","application/Samples","0","","25","0","Form","0"
"0","Samples","0","widget/fields/field/richtext","32","0","","0"
"0","application/Samples","0","widget/fields/field/date","13","0","","0"
"0","","0","widget/fields/field/text","16","1","","0"
"0","Samples","0","widget/type/assoctreepopup","13","0","","0"
"0","Samples","0","widget/fields/field/fileUpload","18","1","","0"
"0","application/Samples","0","widget/fields/field/number","14","3","","0"
"0","Samples","0","widget/fields/field/pickTree","20","0","","0"
"0","","0","","33","14","","0"
"0","Samples","0","widget/fields/field/multivalueTree","34","9","","0"
"0","application/Samples","0","widget/fields/field/dateTime","12","0","","0"
"0","Samples","0","widget/fields/field/dateTime","15","0","","0"
"0","application/Samples","0","widget/type/picktreepopup","1","0","","0"
"0","application/Samples","0","widget/fields/field/input","15","2","","0"
"0","application/Samples","0","widget/fields/field/dateTimeWithSeconds","13","0","","0"
"0","","0","widget/fields/field/percent","14","3","","0"
"0","Samples","0","widget/type/picktreepopup","10","0","","0"
"0","Samples","0","widget/fields/field/dictionary","16","1","","0"
"0","application/Samples","0","widget/fields/field/time","10","0","","0"
"0","Samples","0","widget/type/tree","22","0","","0"
"0","Samples","0","widget/type/picklistpopup","10","0","","0"
"0","Samples","0","widget/fields/field/input","17","1","","0"
"0","application/Samples","0","widget/fields/field/inlinePickList","13","3","","0"
"0","","0","widget/fields/field/time","7","2","","0"
"0","Samples","0","widget/type/list","2","0","","0"
"0","application/Samples","0","widget/fields/field/pickList","5","1","","0"
"0","application/Samples","0","","6","0","Info","0"
"0","Samples","0","widget/type/statblocks","1","0","","0"
"0","Samples","0","widget/type/property/defaultlimitpage","1","0","","0"
