"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Samples","0","widget/type/tree","22","0","","0"
"0","","0","","58","16","","0"
"0","Samples","0","","228","38","","0"
"0","application/Samples","0","","106","52","","0"
"0","Samples","0","widget/fields/field/multivalueTree","17","5","","0"
"0","Samples","0","widget/fields/field/pickTree","19","0","","0"
"0","Samples","0","","15","1","List","0"
"0","Samples","1","widget/type/line2d","10","0","","0"
"0","Samples","0","widget/fields/field/richtext","30","0","","0"
"0","application/Samples","0","widget/fields/field/pickTree","5","3","","0"
"0","Samples","1","widget/type/assoctreepopup","12","0","","0"
"0","Samples","0","widget/type/picktreepopup","10","0","","0"
"0","application/Samples","0","","9","0","Form","0"
"0","application/Samples","0","","6","0","Info","0"
"0","Samples","0","widget/type/list","2","0","","0"
"0","Samples","0","widget/type/statblocks","1","0","","0"
"0","Samples","0","widget/type/property/defaultlimitpage","1","0","","0"
