"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","8157","Required Message validation test for multiple fields","","Tue Apr 15 12:16:33 GMT 2025","passed","Tue Apr 15 12:16:41 GMT 2025","","Form. Checking the basic functions for the Input in the widget Form","application.Samples.Form.InputOnFormTest","fieldLevelValidation"
"Filtering is not available for InfoWidget.","8350","Filtering test","","Tue Apr 15 12:22:12 GMT 2025","passed","Tue Apr 15 12:22:20 GMT 2025","","Info. Checking the basic functions for the Radio","application.Samples.Info.RadioOnInfoTest","filtration"
"Filtering is not available for InfoWidget.","5374","Filtering test","","Tue Apr 15 12:21:49 GMT 2025","passed","Tue Apr 15 12:21:54 GMT 2025","","Info. Checking the basic functions for the Hint","application.Samples.Info.HintOnInfoTest","filtration"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","9483","Run-time exception validation test","","Tue Apr 15 12:11:24 GMT 2025","passed","Tue Apr 15 12:11:34 GMT 2025","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","application.Samples.Form.DateTimeWithSecondsOnFormTest","runtimeException"
"The InfoWidget doesn't have a Placeholder.","7625","Test for getting the Placeholder value","","Tue Apr 15 12:24:33 GMT 2025","passed","Tue Apr 15 12:24:40 GMT 2025","","Info. Checking the basic functions for the MultiValueHover","application.Samples.Info.MultiValueHoverOnInfoTest","placeholder"
"Filtering is not available for InfoWidget.","7669","Filtering test","","Tue Apr 15 12:26:23 GMT 2025","passed","Tue Apr 15 12:26:31 GMT 2025","","Info. Checking the basic functions for the MultiValue","application.Samples.Info.MultiValueOnInfoTest","filtration"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","7950","Required Message validation test for multiple fields","","Tue Apr 15 12:18:36 GMT 2025","passed","Tue Apr 15 12:18:44 GMT 2025","","Form. Checking the basic functions for the PickList in the widget Form","application.Samples.Form.PickListOnFormTest","fieldLevelValidation"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","8792","Required Message validation test for multiple fields","","Tue Apr 15 12:20:28 GMT 2025","passed","Tue Apr 15 12:20:37 GMT 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","fieldLevelValidation"
"Filtering is not available for the Form widget","7660","Filtering test","","Tue Apr 15 12:18:24 GMT 2025","passed","Tue Apr 15 12:18:32 GMT 2025","","Form. Checking the basic functions for the MultiValue in the widget Form","application.Samples.Form.MultiValueOnFormTest","filtration"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","12670","Required Message validation test for multiple fields","","Tue Apr 15 12:10:59 GMT 2025","passed","Tue Apr 15 12:11:12 GMT 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","fieldLevelValidation"
