"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","10529","Business Exception Validation Test","","Wed May 07 08:40:52 GMT 2025","passed","Wed May 07 08:41:03 GMT 2025","","Form. Checking the basic functions for the CheckBox","application.Samples.Form.CheckBoxOnFormTest","businessException"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","6938","Business Exception Validation Test","","Wed May 07 08:43:16 GMT 2025","passed","Wed May 07 08:43:23 GMT 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","businessException"
"Sorting is not available for InfoWidget.","5888","Sorting test","","Wed May 07 08:30:52 GMT 2025","passed","Wed May 07 08:30:58 GMT 2025","","Info. Checking the basic functions for the Hint","application.Samples.Info.HintOnInfoTest","sorting"
"Sorting is not available for the Form widget","6023","Sorting test","","Wed May 07 08:42:41 GMT 2025","passed","Wed May 07 08:42:47 GMT 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","sorting"
"Sorting is not available for InfoWidget.","7675","Sorting test","","Wed May 07 08:28:12 GMT 2025","passed","Wed May 07 08:28:19 GMT 2025","","Info. Checking the basic functions for the FileUp","application.Samples.Info.FileUploadOnInfoTest","sorting"
"Drill Down is not available for InfoWidget.","8357","The DrillDown test","","Wed May 07 08:29:36 GMT 2025","passed","Wed May 07 08:29:44 GMT 2025","","Info. Checking the basic functions for the MultiValue","application.Samples.Info.MultiValueOnInfoTest","drillDown"
"The test gets the value from the placeholder attribute and returns it in String format","9135","Test for getting the Placeholder value","","Wed May 07 08:41:21 GMT 2025","passed","Wed May 07 08:41:30 GMT 2025","","Form. Checking the basic functions for the CheckBox","application.Samples.Form.CheckBoxOnFormTest","placeholder"
"Sorting is not available for the Form widget","7328","Sorting test","","Wed May 07 08:35:24 GMT 2025","passed","Wed May 07 08:35:32 GMT 2025","","Form. Checking the basic functions for the Number in the widget Form","application.Samples.Form.NumberOnFormTest","sorting"
"The test gets the value from the placeholder attribute and returns it in String format","6184","Test for getting the Placeholder value","","Wed May 07 08:36:01 GMT 2025","passed","Wed May 07 08:36:07 GMT 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","placeholder"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","6163","A test to get the field color value in Hex format","","Wed May 07 08:30:39 GMT 2025","passed","Wed May 07 08:30:46 GMT 2025","","Info. Checking the basic functions for the Date","application.Samples.Info.DateOnInfoTest","color"
"DrillDown is not available for InfoWidget.","11469","The DrillDown test","","Wed May 07 08:27:05 GMT 2025","passed","Wed May 07 08:27:16 GMT 2025","","Info. Checking the basic functions for the Dictionary","application.Samples.Info.DictionaryOnInfoTest","drillDown"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","9447","Business Exception Validation Test","","Wed May 07 08:38:28 GMT 2025","passed","Wed May 07 08:38:37 GMT 2025","","Form. Checking the basic functions for the PickList in the widget Form","application.Samples.Form.PickListOnFormTest","businessException"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","9640","A test to get the field color value in Hex format","","Wed May 07 08:41:46 GMT 2025","passed","Wed May 07 08:41:56 GMT 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","color"
"The test checks for the disabled attribute","6951","A test to check the field for ""Read-only""","","Wed May 07 08:34:02 GMT 2025","passed","Wed May 07 08:34:09 GMT 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","readonly"
"","7614","Test to get the name of the downloaded file","","Wed May 07 08:29:21 GMT 2025","passed","Wed May 07 08:29:28 GMT 2025","","Info. Checking the basic functions for the FileUp","application.Samples.Info.FileUploadOnInfoTest","getFileName"
"DrillDown is not available for InfoWidget.","10614","The DrillDown test","","Wed May 07 08:25:46 GMT 2025","passed","Wed May 07 08:25:57 GMT 2025","","Info. Checking the basic functions for the Number","application.Samples.Info.NumberOnInfoTest","drillDown"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","10822","Required Message validation test for multiple fields","","Wed May 07 08:42:19 GMT 2025","passed","Wed May 07 08:42:30 GMT 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","fieldLevelValidation"
"Checking the url before the transition and after the transition/click on a special element","6417","The DrillDown test","","Wed May 07 08:42:03 GMT 2025","passed","Wed May 07 08:42:09 GMT 2025","","Form. Checking the basic functions for the NumberDigits in the widget Form","application.Samples.Form.NumberDigitsOnFormTest","drillDown"
"The InfoWidget doesn't have a Placeholder.","7646","Test for getting the Placeholder value","","Wed May 07 08:29:05 GMT 2025","passed","Wed May 07 08:29:12 GMT 2025","","Info. Checking the basic functions for the FileUp","application.Samples.Info.FileUploadOnInfoTest","placeholder"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","9233","Confirmation Popup Validation Test","","Wed May 07 08:36:36 GMT 2025","passed","Wed May 07 08:36:45 GMT 2025","","Form. Checking the basic functions for the Number in the widget Form","application.Samples.Form.NumberOnFormTest","confirm"
"The test gets the value from the placeholder attribute and returns it in String format","6524","Test for getting the Placeholder value","","Wed May 07 08:32:35 GMT 2025","passed","Wed May 07 08:32:41 GMT 2025","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","application.Samples.Form.DateTimeWithSecondsOnFormTest","placeholder"
"Sorting is not available for the Form widget","10539","Sorting test","","Wed May 07 08:40:10 GMT 2025","passed","Wed May 07 08:40:20 GMT 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","sorting"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","7595","A test to get the field color value in Hex format","","Wed May 07 08:32:18 GMT 2025","passed","Wed May 07 08:32:26 GMT 2025","","Form. Checking the basic functions for the FileUpload in the widget Form","application.Samples.Form.FileUploadOnFormTest","color"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","6649","A test to get the field color value in Hex format","","Wed May 07 08:32:28 GMT 2025","passed","Wed May 07 08:32:35 GMT 2025","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","application.Samples.Form.DateTimeWithSecondsOnFormTest","color"
"The InfoWidget doesn't have a Placeholder.","8927","Test for getting the Placeholder value","","Wed May 07 08:31:23 GMT 2025","passed","Wed May 07 08:31:32 GMT 2025","","Info. Checking the basic functions for the Radio","application.Samples.Info.RadioOnInfoTest","placeholder"
"The test sets the value, after which the method returns the full list of value-status","10339","Test to get all values with the status","","Wed May 07 08:32:59 GMT 2025","passed","Wed May 07 08:33:09 GMT 2025","","Form. Checking the basic functions for the Radio in the widget Form","application.Samples.Form.RadioOnFormTest","getValues"
