"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The test gets the value from the placeholder attribute and returns it in String format","10592","Test for getting the Placeholder value","","Sat Apr 05 12:35:48 UTC 2025","passed","Sat Apr 05 12:35:59 UTC 2025","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","application.Samples.Form.DateTimeWithSecondsOnFormTest","placeholder"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","15549","Required Message validation test for one field","","Sat Apr 05 12:41:48 UTC 2025","passed","Sat Apr 05 12:42:03 UTC 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","fieldLevelValidationAnnotation"
"Filtering is not available for the Form widget","9246","Filtering test","","Sat Apr 05 12:34:16 UTC 2025","passed","Sat Apr 05 12:34:25 UTC 2025","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","application.Samples.Form.DateTimeWithSecondsOnFormTest","filtration"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","13731","Run-time exception validation test","","Sat Apr 05 12:36:41 UTC 2025","passed","Sat Apr 05 12:36:55 UTC 2025","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","application.Samples.Form.DateTimeWithSecondsOnFormTest","runtimeException"
"Filtering is not available for the Form widget","17610","Filtering test","","Sat Apr 05 12:37:29 UTC 2025","passed","Sat Apr 05 12:37:47 UTC 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","filtration"
"Filtering is not available for the Form widget","8162","Filtering test","","Sat Apr 05 12:41:31 UTC 2025","passed","Sat Apr 05 12:41:39 UTC 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","filtration"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","21786","Required Message validation test for multiple fields","","Sat Apr 05 12:43:17 UTC 2025","passed","Sat Apr 05 12:43:39 UTC 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","fieldLevelValidation"
"Sorting is not available for the Form widget","19738","Sorting test","","Sat Apr 05 12:43:50 UTC 2025","passed","Sat Apr 05 12:44:10 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","sorting"
"The test sets the value in the field, and then checks the value in the field with what should be set","17705","A test for setting a value in a field","","Sat Apr 05 12:39:08 UTC 2025","passed","Sat Apr 05 12:39:26 UTC 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","edit"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","8588","A test to get the field color value in Hex format","","Sat Apr 05 12:42:42 UTC 2025","passed","Sat Apr 05 12:42:50 UTC 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","color"
"The test sets the value in the field, and then checks the value in the field with what should be set","13672","A test for setting a value in a field","","Sat Apr 05 12:42:28 UTC 2025","passed","Sat Apr 05 12:42:42 UTC 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","edit"
"Sorting is not available for the Form widget","16979","Sorting test","","Sat Apr 05 12:36:55 UTC 2025","passed","Sat Apr 05 12:37:12 UTC 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","sorting"
"The test clears the field and clicks the Save button. Then validates the message that the field is required","10823","Required Message text Verification field test","","Sat Apr 05 12:42:03 UTC 2025","passed","Sat Apr 05 12:42:14 UTC 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","required"
"Checking the url before the transition and after the transition/click on a special element","8290","The DrillDown test","","Sat Apr 05 12:41:23 UTC 2025","passed","Sat Apr 05 12:41:31 UTC 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","drillDown"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","9307","A test to get the field color value in Hex format","","Sat Apr 05 12:35:39 UTC 2025","passed","Sat Apr 05 12:35:48 UTC 2025","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","application.Samples.Form.DateTimeWithSecondsOnFormTest","color"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","26869","Required Message validation test for multiple fields","","Sat Apr 05 12:40:25 UTC 2025","passed","Sat Apr 05 12:40:52 UTC 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","fieldLevelValidation"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","23101","Confirmation Popup Validation Test","","Sat Apr 05 12:40:02 UTC 2025","passed","Sat Apr 05 12:40:25 UTC 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","confirm"
"The test gets the value from the placeholder attribute and returns it in String format","17953","Test for getting the Placeholder value","","Sat Apr 05 12:39:44 UTC 2025","passed","Sat Apr 05 12:40:02 UTC 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","placeholder"
"The test sets the value in the field, and then checks the value in the field with what should be set","13452","A test for setting a value in a field","","Sat Apr 05 12:35:25 UTC 2025","passed","Sat Apr 05 12:35:39 UTC 2025","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","application.Samples.Form.DateTimeWithSecondsOnFormTest","edit"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","21789","Business Exception Validation Test","","Sat Apr 05 12:38:47 UTC 2025","passed","Sat Apr 05 12:39:08 UTC 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","businessException"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","17952","Business Exception Validation Test","","Sat Apr 05 12:35:07 UTC 2025","passed","Sat Apr 05 12:35:25 UTC 2025","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","application.Samples.Form.DateTimeWithSecondsOnFormTest","businessException"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","21985","Required Message validation test for one field","","Sat Apr 05 12:38:03 UTC 2025","passed","Sat Apr 05 12:38:25 UTC 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","fieldLevelValidationAnnotation"
"The test gets the value from the placeholder attribute and returns it in String format","9030","Test for getting the Placeholder value","","Sat Apr 05 12:42:50 UTC 2025","passed","Sat Apr 05 12:42:59 UTC 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","placeholder"
"Filtering is not available for the Form widget","20666","Filtering test","","Sat Apr 05 12:44:53 UTC 2025","passed","Sat Apr 05 12:45:14 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","filtration"
"The test checks for the disabled attribute","16378","A test to check the field for ""Read-only""","","Sat Apr 05 12:37:47 UTC 2025","passed","Sat Apr 05 12:38:03 UTC 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","readonly"
"Sorting is not available for the Form widget","8461","Sorting test","","Sat Apr 05 12:41:14 UTC 2025","passed","Sat Apr 05 12:41:23 UTC 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","sorting"
"Checking the url before the transition and after the transition/click on a special element","9885","The DrillDown test","","Sat Apr 05 12:34:06 UTC 2025","passed","Sat Apr 05 12:34:16 UTC 2025","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","application.Samples.Form.DateTimeWithSecondsOnFormTest","drillDown"
"Sorting is not available for the Form widget","43008","Sorting test","","Sat Apr 05 12:33:23 UTC 2025","passed","Sat Apr 05 12:34:06 UTC 2025","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","application.Samples.Form.DateTimeWithSecondsOnFormTest","sorting"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","14237","Business Exception Validation Test","","Sat Apr 05 12:42:14 UTC 2025","passed","Sat Apr 05 12:42:28 UTC 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","businessException"
"The test clears the field and clicks the Save button. Then validates the message that the field is required","21543","Required Message text Verification field test","","Sat Apr 05 12:38:25 UTC 2025","passed","Sat Apr 05 12:38:47 UTC 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","required"
"The test clears the field and clicks the Save button. Then validates the message that the field is required","12536","Required Message text Verification field test","","Sat Apr 05 12:34:55 UTC 2025","passed","Sat Apr 05 12:35:07 UTC 2025","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","application.Samples.Form.DateTimeWithSecondsOnFormTest","required"
"","21984","A test to check the options of the drop-down list","","Sat Apr 05 12:44:31 UTC 2025","passed","Sat Apr 05 12:44:53 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","options"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","21938","Run-time exception validation test","","Sat Apr 05 12:40:52 UTC 2025","passed","Sat Apr 05 12:41:14 UTC 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","runtimeException"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","24693","Required Message validation test for one field","","Sat Apr 05 12:45:34 UTC 2025","passed","Sat Apr 05 12:45:59 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","fieldLevelValidationAnnotation"
"The test checks for the disabled attribute","8362","A test to check the field for ""Read-only""","","Sat Apr 05 12:41:39 UTC 2025","passed","Sat Apr 05 12:41:48 UTC 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","readonly"
"Checking the url before the transition and after the transition/click on a special element","21172","The DrillDown test","","Sat Apr 05 12:44:10 UTC 2025","passed","Sat Apr 05 12:44:31 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","drillDown"
